time_s,reference_signal_v
2.8900,0.7903884
2.9000,0.7908124
2.9100,0.7913006
2.9200,0.7918479
2.9300,0.7924493
2.9400,0.7930992
2.9500,0.7937918
2.9600,0.7945209
2.9700,0.7952804
2.9800,0.7960638
2.9900,0.7968647
3.0000,0.7976767
3.0100,0.7982239
3.0200,0.7982366
3.0300,0.7977176
3.0400,0.7966698
3.0500,0.7950963
3.0600,0.7930006
3.0700,0.7903862
3.0800,0.7872573
3.0900,0.7836181
3.1000,0.7794734
3.1100,0.7748284
3.1200,0.7696888
3.1300,0.7640606
3.1400,0.7579504
3.1500,0.7513652
3.1600,0.7443126
3.1700,0.7368006
3.1800,0.7288377
3.1900,0.7204330
3.2000,0.7115960
3.2100,0.7023367
3.2200,0.6926655
3.2300,0.6825933
3.2400,0.6721314
3.2500,0.6612915
3.2600,0.6500857
3.2700,0.6385264
3.2800,0.6266262
3.2900,0.6143982
3.3000,0.6018555
3.3100,0.5890116
3.3200,0.5758800
3.3300,0.5624745
3.3400,0.5488088
3.3500,0.5348967
3.3600,0.5207521
3.3700,0.5063889
3.3800,0.4918207
3.3900,0.4770612
3.4000,0.4621240
3.4100,0.4470224
3.4200,0.4317695
3.4300,0.4163783
3.4400,0.4008615
3.4500,0.3852315
3.4600,0.3695003
3.4700,0.3536799
3.4800,0.3377815
3.4900,0.3218165
3.5000,0.3057954
3.5100,0.2897288
3.5200,0.2736265
3.5300,0.2574984
3.5400,0.2413536
3.5500,0.2252012
3.5600,0.2090495
3.5700,0.1929070
3.5800,0.1767814
3.5900,0.1606804
3.6000,0.1446111
3.6100,0.1285805
3.6200,0.1125954
3.6300,0.0966621
3.6400,0.0807870
3.6500,0.0649761
3.6600,0.0492352
3.6700,0.0335702
3.6800,0.0179865
3.6900,0.0024898
3.7000,-0.0129145
3.7100,-0.0282209
3.7200,-0.0434239
3.7300,-0.0585181
3.7400,-0.0734980
3.7500,-0.0883579
3.7600,-0.1030921
3.7700,-0.1176947
3.7800,-0.1321598
3.7900,-0.1464811
3.8000,-0.1606523
3.8100,-0.1746668
3.8200,-0.1885178
3.8300,-0.2021983
3.8400,-0.2157009
3.8500,-0.2290182
3.8600,-0.2421422
3.8700,-0.2550649
3.8800,-0.2677780
3.8900,-0.2802727
3.9000,-0.2925403
3.9100,-0.3045714
3.9200,-0.3163567
3.9300,-0.3278864
3.9400,-0.3391506
3.9500,-0.3501392
3.9600,-0.3608416
3.9700,-0.3712474
3.9800,-0.3813456
3.9900,-0.3911253
4.0000,-0.4005754
4.0100,-0.4096845
4.0200,-0.4184413
4.0300,-0.4268343
4.0400,-0.4348519
4.0500,-0.4424825
4.0600,-0.4497143
4.0700,-0.4565358
4.0800,-0.4629352
4.0900,-0.4689009
4.1000,-0.4744213
4.1100,-0.4794848
4.1200,-0.4840800
4.1300,-0.4881956
4.1400,-0.4918202
4.1500,-0.4949428
